Sample #,General Information,,,,Amount of Material,,,Miscellaneous,,QC Method Used By Customer ,,,Special Comments
27,R81,Total RNA,Montipora capitata,DNAse/RNAse-free water,1625.2,68,23.9,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
28,R82,Total RNA,Montipora capitata,DNAse/RNAse-free water,962.2,68,14.15,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
29,R83,Total RNA,Montipora capitata,DNAse/RNAse-free water,1234.2,68,18.15,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
30,R84,Total RNA,Montipora capitata,DNAse/RNAse-free water,1071,68,15.75,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
31,R85,Total RNA,Montipora capitata,DNAse/RNAse-free water,1281.8,68,18.85,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
32,R86,Total RNA,Montipora capitata,DNAse/RNAse-free water,1604.8,68,23.6,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
33,R87,Total RNA,Montipora capitata,DNAse/RNAse-free water,1360,68,20,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
34,R88,Total RNA,Montipora capitata,DNAse/RNAse-free water,1645.6,68,24.2,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
35,R89,Total RNA,Montipora capitata,DNAse/RNAse-free water,1564,68,23,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
36,R90,Total RNA,Montipora capitata,DNAse/RNAse-free water,1686.4,68,24.8,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
37,R91,Total RNA,Montipora capitata,DNAse/RNAse-free water,1713.6,68,25.2,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
38,R92,Total RNA,Montipora capitata,DNAse/RNAse-free water,1387.2,68,20.4,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
39,R93,Total RNA,Montipora capitata,DNAse/RNAse-free water,1550.4,68,22.8,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
40,R94,Total RNA,Montipora capitata,DNAse/RNAse-free water,2094.4,68,30.8,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
41,R95,Total RNA,Montipora capitata,DNAse/RNAse-free water,1482.4,68,21.8,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
42,R96,Total RNA,Montipora capitata,DNAse/RNAse-free water,1441.6,68,21.2,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
43,R97,Total RNA,Montipora capitata,DNAse/RNAse-free water,1210.4,68,17.8,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
44,R98,Total RNA,Montipora capitata,DNAse/RNAse-free water,1523.2,68,22.4,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
45,R99,Total RNA,Montipora capitata,DNAse/RNAse-free water,1468.8,68,21.6,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
46,R100,Total RNA,Montipora capitata,DNAse/RNAse-free water,972.4,68,14.3,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
47,R101,Total RNA,Montipora capitata,DNAse/RNAse-free water,1761.2,68,25.9,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
48,R102,Total RNA,Montipora capitata,DNAse/RNAse-free water,948.6,68,13.95,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
49,R103,Total RNA,Montipora capitata,DNAse/RNAse-free water,1060.8,68,15.6,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
50,R104,Total RNA,Montipora capitata,DNAse/RNAse-free water,897.6,68,13.2,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
51,R105,Total RNA,Montipora capitata,DNAse/RNAse-free water,1666,68,24.5,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
52,R106,Total RNA,Montipora capitata,DNAse/RNAse-free water,1659.2,68,24.4,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
53,R107,Total RNA,Montipora capitata,DNAse/RNAse-free water,1145.8,68,16.85,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
54,R108,Total RNA,Montipora capitata,DNAse/RNAse-free water,1139,68,16.75,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
