"input","LION name","LION ID","match"
"[#0013] AHexCer 45:4;O2|AHexCer (O-14:1)31:3;O2","C14:1","LION:0000462","smart matching"
"[#0014] AHexCer 45:4;O3|AHexCer (O-16:0)29:4;O3","C16:0","LION:0002882","smart matching"
"[#0015] AHexCer 47:6;O3|AHexCer (O-20:4)27:2;O3","C20:4","LION:0002929","smart matching"
"[#0016] AHexCer 48:2;O2|AHexCer (O-24:0)24:2;O2","C24:0","LION:0002938","smart matching"
"[#0016] AHexCer 48:2;O2|AHexCer (O-24:0)24:2;O2","C24:2","LION:0002940","smart matching"
"[#0017] AHexCer 49:6;O2|AHexCer (O-17:0)32:6;O2","C17:0","LION:0022231","smart matching"
"[#0018] AHexCer 50:3;O3|AHexCer (O-14:0)36:3;O3","C14:0","LION:0000259","smart matching"
"[#0019] AHexCer 51:6;O3|AHexCer (O-18:0)33:6;O3","C18:0","LION:0002921","smart matching"
"[#0020] AHexCer 52:4;O3|AHexCer (O-16:0)36:4;O3","C16:0","LION:0002882","smart matching"
"[#0021] AHexCer 61:3;O2|AHexCer (O-24:0)37:3;O2","C24:0","LION:0002938","smart matching"
"[#0022] ASG 27:1;O;Hex;FA 23:0","not found","not found",""
"[#0023] ASG 27:1;O;Hex;FA 26:0","not found","not found",""
"[#0024] ASG 28:1;O;Hex;FA 16:0","not found","not found",""
"[#0025] ASG 28:1;O;Hex;FA 23:0","not found","not found",""
"[#0026] ASG 28:1;O;Hex;FA 25:1","not found","not found",""
"[#0027] ASG 29:1;O;Hex;FA 25:1","not found","not found",""
"[#0028] ASG 29:1;O;Hex;FA 26:4","not found","not found",""
"[#0029] BA 24:1;O4;T","C24:1","LION:0002939","smart matching"
"[#0030] BMP 18:2|BMP 8:1_10:1","monoacylglycerophosphomonoradylglycerols [GP0410]","LION:0000067","smart matching"
"[#0030] BMP 18:2|BMP 8:1_10:1","C18:2","LION:0002923","smart matching"
"[#0031] Benzyl butyl phthalate (also known as chemical regent)","not found","not found",""
"[#0032] CAR 11:0","not found","not found",""
"[#0033] CAR 13:0","C13:0","LION:0022223","smart matching"
"[#0034] CAR 14:0","C14:0","LION:0000259","smart matching"
"[#0035] CAR 14:1","C14:1","LION:0000462","smart matching"
"[#0036] CAR 16:0","C16:0","LION:0002882","smart matching"
"[#0037] CAR 18:0","C18:0","LION:0002921","smart matching"
"[#0038] CAR 18:2","C18:2","LION:0002923","smart matching"
"[#0039] CAR 18:3","C18:3","LION:0002924","smart matching"
"[#0040] CAR 19:2","C19:2","LION:0022245","smart matching"
"[#0041] CAR 20:0","C20:0","LION:0002925","smart matching"
"[#0042] CAR 20:3","C20:3","LION:0002928","smart matching"
"[#0043] CAR 21:1","C21:1","LION:0022262","smart matching"
"[#0044] CAR 21:2","C21:2","LION:0022263","smart matching"
"[#0045] CAR 22:0","C22:0","LION:0002931","smart matching"
"[#0046] CAR 22:6","C22:6","LION:0002937","smart matching"
"[#0047] CAR 23:1","C23:1","LION:0022267","smart matching"
"[#0048] CAR 24:0","C24:0","LION:0002938","smart matching"
"[#0049] CAR 24:5","C24:5","LION:0002943","smart matching"
"[#0050] CAR 26:0","C26:0","LION:0002979","smart matching"
"[#0051] CAR 26:7","C26:7","LION:0002987","smart matching"
"[#0052] CAR 28:2","not found","not found",""
"[#0053] CAR 28:6","not found","not found",""
"[#0054] CE 22:4","CE(22:4)","LION:0001268","direct"
"[#0055] CL 63:2|CL 15:0_15:0_15:0_18:2","diacylglycerophosphoglycerophosphodiradylglycerols [GP1201]","LION:0000728","smart matching"
"[#0056] CL 71:1|CL 18:0_18:0_18:0_17:1","diacylglycerophosphoglycerophosphodiradylglycerols [GP1201]","LION:0000728","smart matching"
"[#0057] CL 75:8|CL 17:0_18:2_18:2_22:4","diacylglycerophosphoglycerophosphodiradylglycerols [GP1201]","LION:0000728","smart matching"
"[#0058] CL 78:8|CL 16:0_18:1_22:3_22:4","diacylglycerophosphoglycerophosphodiradylglycerols [GP1201]","LION:0000728","smart matching"
"[#0059] CL 79:11|CL 17:0_20:3_20:3_22:5","diacylglycerophosphoglycerophosphodiradylglycerols [GP1201]","LION:0000728","smart matching"
"[#0060] CL 80:14|CL 18:1_18:1_22:6_22:6","diacylglycerophosphoglycerophosphodiradylglycerols [GP1201]","LION:0000728","smart matching"
"[#0061] CL 80:9|CL 18:0_18:1_22:4_22:4","diacylglycerophosphoglycerophosphodiradylglycerols [GP1201]","LION:0000728","smart matching"
"[#0062] CL 81:15|CL 15:1_22:4_22:5_22:5","diacylglycerophosphoglycerophosphodiradylglycerols [GP1201]","LION:0000728","smart matching"
"[#0063] Cer 26:1;O2|Cer 12:0;O2/14:1","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0063] Cer 26:1;O2|Cer 12:0;O2/14:1","C26:1","LION:0002981","smart matching"
"[#0064] Cer 26:1;O2|Cer 18:1;O2/8:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0064] Cer 26:1;O2|Cer 18:1;O2/8:0","C26:1","LION:0002981","smart matching"
"[#0065] Cer 26:2;O2|Cer 12:2;O2/14:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0065] Cer 26:2;O2|Cer 12:2;O2/14:0","C26:2","LION:0002982","smart matching"
"[#0066] Cer 27:3;O2|Cer 18:3;O2/9:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0067] Cer 27:4;O2|Cer 12:1;O2/15:3","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0068] Cer 28:4;O2|Cer 15:3;O2/13:1","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0069] Cer 28:5;O2|Cer 12:1;O2/16:4","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0070] Cer 28:5;O3","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0071] Cer 29:3;O2|Cer 14:1;O2/15:2","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0072] Cer 29:4;O2|Cer 13:2;O2/16:2","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0073] Cer 29:4;O2|Cer 14:0;O2/15:4","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0074] Cer 29:5;O2|Cer 12:1;O2/17:4","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0075] Cer 30:0;O2|Cer 15:0;O2/15:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0076] Cer 30:1;O2|Cer 15:1;O2/15:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0077] Cer 30:1;O2|Cer 18:1;O2/12:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0078] Cer 30:2;O2|Cer 18:2;O2/12:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0079] Cer 30:4;O2|Cer 16:3;O2/14:1","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0080] Cer 30:6;O2|Cer 12:1;O2/18:5","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0081] Cer 31:0;O2|Cer 19:0;O2/12:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0082] Cer 31:2;O2|Cer 18:2;O2/13:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0083] Cer 31:4;O2|Cer 12:2;O2/19:2","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0084] Cer 31:4;O2|Cer 13:2;O2/18:2","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0085] Cer 31:6;O2|Cer 12:1;O2/19:5","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0086] Cer 31:7;O2|Cer 13:2;O2/18:5","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0087] Cer 32:0;O2|Cer 24:0;O2/8:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0088] Cer 32:1;O2|Cer 14:0;O2/18:1","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0089] Cer 32:2;O2|Cer 17:0;O2/15:2","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0090] Cer 32:3;O2|Cer 19:3;O2/13:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0091] Cer 32:3;O3|Cer 18:2;O2/14:1;O","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0092] Cer 32:4;O2|Cer 17:0;O2/15:4","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0093] Cer 32:6;O2|Cer 13:2;O2/19:4","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0094] Cer 32:6;O2|Cer 15:2;O2/17:4","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0095] Cer 32:7;O2|Cer 16:3;O2/16:4","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0096] Cer 33:1;O2|Cer 17:0;O2/16:1","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0097] Cer 33:1;O3|Cer 18:0;O2/15:1;O","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0098] Cer 33:1;O4|Cer 18:0;O3/15:1(2OH)","C18:0","LION:0002921","smart matching"
"[#0098] Cer 33:1;O4|Cer 18:0;O3/15:1(2OH)","C15:1","LION:0022230","smart matching"
"[#0099] Cer 33:4;O2|Cer 12:1;O2/21:3","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0100] Cer 33:4;O2|Cer 12:2;O2/21:2","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0101] Cer 33:4;O2|Cer 18:2;O2/15:2","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0102] Cer 33:5;O2|Cer 12:0;O2/21:5","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0103] Cer 33:5;O2|Cer 12:2;O2/21:3","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0104] Cer 33:6;O2|Cer 18:2;O2/15:4","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0105] Cer 33:7;O2|Cer 13:2;O2/20:5","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0106] Cer 34:0;O2|Cer 16:0;O2/18:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0107] Cer 34:0;O3|Cer 18:0;O2/16:0(2OH)","C16:0","LION:0002882","smart matching"
"[#0107] Cer 34:0;O3|Cer 18:0;O2/16:0(2OH)","C18:0","LION:0002921","smart matching"
"[#0108] Cer 34:0;O3|Cer 18:0;O2/16:0;O","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0109] Cer 34:1;O2|Cer 14:0;O2/20:1","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0110] Cer 34:1;O2|Cer 18:1;O2/16:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0111] Cer 34:1;O2|Cer 19:0;O2/15:1","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0112] Cer 34:1;O3|Cer 18:0;O2/16:1(2OH)","C16:1","LION:0002900","smart matching"
"[#0112] Cer 34:1;O3|Cer 18:0;O2/16:1(2OH)","C18:0","LION:0002921","smart matching"
"[#0113] Cer 34:2;O2|Cer 13:1;O2/21:1","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0114] Cer 34:2;O2|Cer 15:0;O2/19:2","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0115] Cer 34:2;O2|Cer 18:2;O2/16:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0116] Cer 34:2;O2|Cer 19:2;O2/15:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0117] Cer 34:2;O3|Cer 18:2;O2/16:0(2OH)","C16:0","LION:0002882","smart matching"
"[#0117] Cer 34:2;O3|Cer 18:2;O2/16:0(2OH)","C18:2","LION:0002923","smart matching"
"[#0118] Cer 34:2;O3|Cer 18:2;O2/16:0;O","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0119] Cer 34:2;O3|Cer 19:1;O2/15:1;O","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0120] Cer 34:3;O2|Cer 16:3;O2/18:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0121] Cer 34:3;O2|Cer 19:1;O2/15:2","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0122] Cer 34:3;O2|Cer 19:3;O2/15:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0123] Cer 34:4;O2|Cer 17:1;O2/17:3","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0124] Cer 34:4;O2|Cer 18:3;O2/16:1","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0125] Cer 34:4;O3|Cer 20:3;O2/14:1;O","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0126] Cer 34:5;O2|Cer 18:2;O2/16:3","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0127] Cer 34:5;O2|Cer 19:2;O2/15:3","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0128] Cer 34:7;O2|Cer 16:3;O2/18:4","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0129] Cer 35:0;O2|Cer 19:0;O2/16:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0130] Cer 35:0;O2|Cer 20:0;O2/15:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0131] Cer 35:2;O2|Cer 19:0;O2/16:2","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0132] Cer 35:2;O2|Cer 19:2;O2/16:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0133] Cer 35:2;O2|Cer 20:1;O2/15:1","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0134] Cer 35:5;O2|Cer 18:2;O2/17:3","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0135] Cer 35:6;O2|Cer 20:2;O2/15:4","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0136] Cer 36:1;O3|Cer 14:0;O2/22:1;O","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0137] Cer 36:1;O3|Cer 18:0;O2/18:1;O","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0138] Cer 36:2;O2|Cer 19:2;O2/17:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0139] Cer 36:2;O2|Cer 23:1;O2/13:1","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0140] Cer 36:3;O2|Cer 14:1;O2/22:2","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0141] Cer 36:4;O2|Cer 12:0;O2/24:4","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0142] Cer 36:4;O2|Cer 12:2;O2/24:2","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0143] Cer 36:5;O2|Cer 15:0;O2/21:5","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0144] Cer 36:5;O2|Cer 18:1;O2/18:4","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0145] Cer 36:5;O2|Cer 18:3;O2/18:2","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0146] Cer 37:3;O3","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0147] Cer 37:3;O3|Cer 19:3;O2/18:0(2OH)","C18:0","LION:0002921","smart matching"
"[#0147] Cer 37:3;O3|Cer 19:3;O2/18:0(2OH)","C19:3","LION:0022247","smart matching"
"[#0148] Cer 37:4;O2|Cer 15:0;O2/22:4","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0149] Cer 37:4;O2|Cer 18:3;O2/19:1","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0150] Cer 37:5;O2|Cer 21:3;O2/16:2","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0151] Cer 37:5;O2|Cer 22:2;O2/15:3","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0152] Cer 37:6;O2|Cer 15:0;O2/22:6","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0153] Cer 37:6;O2|Cer 15:1;O2/22:5","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0154] Cer 37:6;O2|Cer 18:2;O2/19:4","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0155] Cer 38:1;O2|Cer 19:1;O2/19:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0156] Cer 38:2;O2|Cer 21:0;O2/17:2","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0157] Cer 38:3;O2|Cer 13:2;O2/25:1","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0158] Cer 38:3;O3|Cer 18:2;O2/20:1;O","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0159] Cer 38:5;O2|Cer 12:0;O2/26:5","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0160] Cer 38:6;O2|Cer 20:2;O2/18:4","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0161] Cer 38:6;O2|Cer 20:3;O2/18:3","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0162] Cer 38:7;O2|Cer 14:1;O2/24:6","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0163] Cer 38:7;O2|Cer 19:2;O2/19:5","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0164] Cer 38:8;O2|Cer 16:3;O2/22:5","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0165] Cer 39:1;O2|Cer 20:1;O2/19:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0166] Cer 39:2;O3|Cer 18:1;O2/21:1;O","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0167] Cer 39:2;O3|Cer 19:2;O2/20:0;O","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0168] Cer 39:3;O2|Cer 13:0;O2/26:3","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0169] Cer 39:3;O3|Cer 18:2;O2/21:1;O","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0170] Cer 39:5;O2|Cer 21:2;O2/18:3","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0171] Cer 40:2;O2|Cer 18:2;O2/22:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0172] Cer 40:7;O2|Cer 18:2;O2/22:5","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0173] Cer 40:7;O2|Cer 22:3;O2/18:4","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0174] Cer 40:7;O2|Cer 24:3;O2/16:4","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0175] Cer 41:1;O2|Cer 21:1;O2/20:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0176] Cer 41:2;O2|Cer 18:2;O2/23:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0177] Cer 41:2;O2|Cer 19:2;O2/22:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0178] Cer 41:2;O3|Cer 18:1;O2/23:1;O","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0179] Cer 41:2;O3|Cer 19:2;O2/22:0(2OH)","C22:0","LION:0002931","smart matching"
"[#0179] Cer 41:2;O3|Cer 19:2;O2/22:0(2OH)","C19:2","LION:0022245","smart matching"
"[#0180] Cer 41:2;O3|Cer 19:2;O2/22:0;O","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0181] Cer 41:2;O4|Cer 18:1;O3/23:1(2OH)","C18:1","LION:0002922","smart matching"
"[#0181] Cer 41:2;O4|Cer 18:1;O3/23:1(2OH)","C23:1","LION:0022267","smart matching"
"[#0182] Cer 41:3;O2|Cer 25:0;O2/16:3","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0183] Cer 41:3;O3|Cer 18:2;O2/23:1;O","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0184] Cer 41:9;O2|Cer 19:3;O2/22:6","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0185] Cer 42:1;O2|Cer 21:0;O2/21:1","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0186] Cer 42:2;O2|Cer 18:0;O2/24:2","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0187] Cer 42:2;O2|Cer 18:2;O2/24:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0188] Cer 42:2;O2|Cer 19:2;O2/23:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0189] Cer 42:2;O2|Cer 23:0;O2/19:2","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0190] Cer 42:2;O3|Cer 19:2;O2/23:0;O","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0191] Cer 42:4;O2|Cer 18:1;O2/24:3","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0192] Cer 42:6;O2|Cer 18:0;O2/24:6","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0193] Cer 42:7;O2|Cer 27:3;O2/15:4","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0194] Cer 43:1;O2|Cer 14:0;O2/29:1","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0195] Cer 43:2;O2|Cer 19:2;O2/24:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0196] Cer 43:2;O3|Cer 19:2;O2/24:0;O","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0197] Cer 43:3;O2|Cer 13:0;O2/30:3","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0198] Cer 43:3;O2|Cer 19:3;O2/24:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0199] Cer 43:4;O2|Cer 17:3;O2/26:1","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0200] Cer 44:1;O2|Cer 22:1;O2/22:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0201] Cer 44:3;O2|Cer 25:0;O2/19:3","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0202] Cer 45:3;O2|Cer 19:2;O2/26:1","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0203] Cer 46:3;O2|Cer 18:3;O2/28:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0204] Cer 46:6;O2|Cer 30:2;O2/16:4","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0205] Cer 46:8;O2|Cer 18:2;O2/28:6","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0206] Cer 46:9;O2|Cer 24:3;O2/22:6","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0207] Cer 47:5;O2|Cer 19:0;O2/28:5","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0208] Cer 47:9;O2|Cer 23:3;O2/24:6","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0209] Cer 48:8;O2|Cer 24:2;O2/24:6","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0210] Cer 48:9;O2|Cer 22:3;O2/26:6","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0211] Cer 49:9;O2|Cer 25:3;O2/24:6","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0212] Cer 50:3;O3|Cer 18:2;O2/32:1;O","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
"[#0213] Cer 50:7;O4|Cer 30:2;O3(FA 20:4)","C20:4","LION:0002929","smart matching"
"[#0214] Cer 51:3;O2|Cer 22:3;O2/29:0","N-acylsphingosines (ceramides) [SP0201]","LION:0012441","smart matching"
