Measurement Name :,20230624_SDR710_Run04_Plate08_PR,,Generated On :,"24/06/2023, 18:00:41",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
24.06.23 17:01:50,1.53,185.78,184.84,187.54,185.19,194.22,196.2,191.15,190.16,195.35,189.5,187.84,193.12,195.33,196.75,205.34,189.95,189.73,199.27,191.39,195.07,195.33,170.06,188.86,198.49,,27,965,33,25.98,
24.06.23 17:02:05,1.78,186.05,193.11,189.41,190.5,195.62,193.93,193.1,195.87,201.4,196.18,197.86,197,197.83,190.85,203.04,193.07,182.52,195.67,202.46,191.62,187.73,176.94,191.39,196.77,,27,965,33,25.98,
24.06.23 17:02:20,2.03,178.52,185.39,187.28,181.5,180.73,196.2,199.56,190.16,194.21,189.23,190.33,194.78,192.3,190.01,202.18,187.98,177.58,194.18,189.43,191.91,186.92,171.49,193.08,199.06,,27,965,33,25.98,
24.06.23 17:02:35,2.28,186.86,191.17,190.75,192.1,199.82,201.62,195.06,196.69,205.47,198.14,199.26,196.72,200.9,198.74,201.9,193.92,181.7,205.31,193.65,194.2,201.64,179.26,188.02,197.91,,27,965,33,25.98,
24.06.23 17:02:50,2.53,181.2,184.57,189.41,189.7,193.39,191.11,199,190.43,191.07,195.06,185.91,192.84,201.18,197.04,201.04,189.67,185.29,189.73,195.91,195.93,186.38,171.2,183.83,195.92,,27,965,33,25.99,
24.06.23 17:03:05,2.78,185.78,193.11,188.08,185.98,192.28,189.98,189.48,189.62,194.49,181.81,190.61,192.29,193.95,197.6,201.61,188.82,183.07,193.59,192.8,191.05,193.14,173.21,189.14,193.08,,27,965,33,25.99,
24.06.23 17:03:20,3.03,184.16,185.39,188.61,189.7,189.78,203.34,192.26,192.06,195.93,185.64,197.86,187.9,188.73,191.69,196.2,186.57,179.77,196.57,201.32,189.62,187.73,172.92,185.5,206.25,,27,965,33,25.99,
24.06.23 17:03:35,3.28,182.01,187.86,185.95,186.24,194.78,187.46,199.56,192.6,195.07,187.29,202.65,191.74,202.58,193.09,195.91,189.95,183.63,194.78,194.5,190.48,193.42,171.2,186.9,189.97,,27,965,33,26.02,
24.06.23 17:03:50,3.53,185.24,184.84,190.21,187.83,199.82,199.04,203.25,194.51,192.49,195.06,193.94,190.37,202.01,195.91,196.2,186.85,178.4,198.37,193.65,194.49,193.96,174.35,189.14,198.49,,27,965,33,25.99,
24.06.23 17:04:05,3.78,187.68,187.86,187.54,187.04,189.78,192.8,203.82,189.89,189.08,190.06,191.72,191.47,200.9,199.3,196.2,193.64,183.35,196.57,197.9,189.05,191.78,175.22,185.78,198.2,,27,965,33,26.02,
24.06.23 17:04:20,4.03,183.89,188.13,186.74,192.37,193.11,197.05,203.53,196.14,199.09,191.16,194.5,193.95,200.62,201.01,195.63,197.92,181.42,199.87,196.48,188.2,190.43,176.37,184.66,210.91,,27,965,33,26.02,
24.06.23 17:04:35,4.28,183.35,186.21,184.89,190.5,197.01,197.62,197.31,192.6,192.21,200.39,204.07,195.06,206.51,194.22,202.47,202.81,182.52,201.68,188.31,199.69,199.71,170.06,186.06,200.78,,27,965,33,26.02,
24.06.23 17:04:50,4.53,186.32,185.11,185.42,188.1,199.26,199.9,195.9,192.87,196.5,192.27,197.3,190.09,199.22,197.89,194.5,196.21,181.14,199.87,197.61,187.34,195.6,172.63,186.06,205.1,,27,965,33,26.03,
24.06.23 17:05:05,4.78,188.49,186.76,184.89,188.63,197.29,202.77,195.34,191.24,195.93,188.4,187.84,192.29,199.22,193.65,197.9,196.78,180.32,200.17,195.91,194.78,192.6,171.49,183.55,207.12,,27,965,33,26.03,
24.06.23 17:05:21,5.05,192.86,191.45,189.68,198.28,203.48,199.9,203.53,191.52,203.14,193.94,195.9,194.23,207.64,198.45,201.04,205.42,181.14,205.31,198.18,192.48,196.97,170.35,193.08,204.52,,27,965,33,26.05,
24.06.23 17:05:36,5.3,191.22,185.66,186.21,198.01,197.01,196.48,199.56,188.81,197.36,191.44,201.24,190.09,200.34,201.86,197.33,204.26,181.42,205.91,203.9,197.08,193.69,163.25,179.67,208.29,,27,965,33,26.03,
24.06.23 17:05:51,5.55,184.7,185.39,184.09,191.3,198.97,191.39,198.43,190.7,190.78,184.55,198.42,185.71,206.51,197.6,200.75,197.92,176.76,194.48,196.19,192.2,192.6,170.06,190.26,214.71,,27,965,33,26.03,
24.06.23 17:06:06,5.8,189.04,184.84,190.75,194.51,203.48,190.82,198.43,190.97,205.76,194.5,195.34,193.67,205.67,200.16,201.04,194.21,181.14,206.52,199.04,198.24,191.24,168.07,190.54,207.41,,27,965,33,26.06,
24.06.23 17:06:21,6.05,184.43,185.39,189.94,192.9,193.94,194.5,202.11,185.85,190.78,186.19,198.7,193.4,200.9,202.43,190.83,196.21,174.03,201.07,191.39,198.24,196.15,170.92,183.55,203.94,,27,965,33,26.06,
24.06.23 17:06:36,6.3,190.4,179.66,186.48,193.71,197.29,198.76,200.7,191.52,198.51,192.27,190.33,185.99,200.62,195.62,195.35,190.8,167.54,199.87,204.76,192.2,199.44,160.72,184.11,203.94,,27,965,33,26.06,
24.06.23 17:06:51,6.55,188.77,181.02,183.56,197.74,193.11,202.19,199.85,196.42,192.21,185.37,197.3,190.09,206.51,201.58,201.04,197.92,183.35,196.87,199.32,193.34,189.89,168.64,189.98,212.37,,27,965,33,26.08,
24.06.23 17:07:06,6.8,189.31,182.11,183.03,194.78,198.13,195.35,197.59,193.15,198.51,188.95,197.3,193.12,205.38,196.19,197.05,193.92,185.01,196.87,192.52,185.64,191.51,167.5,182.16,201.06,,27,965,33,26.1,
24.06.23 17:07:21,7.05,191.22,179.39,180.92,189.96,196.45,193.36,195.06,189.35,187.66,181.26,193.66,179.75,198.39,190.85,198.19,191.94,167.54,193.88,191.96,186.49,193.69,160.43,178.56,193.08,,27,965,33,26.09,
24.06.23 17:07:36,7.3,189.31,175.87,178.04,188.63,205.75,199.62,199.85,186.92,197.08,192.27,201.24,185.99,198.39,186.94,197.33,195.35,171.59,197.77,194.78,186.21,192.87,160.15,178.29,205.39,,27,965,33,26.08,
24.06.23 17:07:51,7.55,192.86,179.93,183.03,191.03,200.94,192.52,199.85,185.85,188.79,196.18,195.9,184.62,202.58,188.89,197.62,193.36,178.67,195.08,194.21,193.06,196.15,162.4,177.74,193.36,,27,965,33,26.1,
24.06.23 17:08:06,7.8,192.31,183.47,181.45,192.37,204.61,201.33,208.1,190.43,190.78,185.09,196.74,185.99,206.79,192.53,203.91,198.21,178.67,198.67,196.48,197.08,181.29,158.19,186.06,200.49,,27,965,33,26.1,
24.06.23 17:08:21,8.05,192.86,181.29,182.24,189.7,201.51,198.47,203.53,192.06,192.49,185.92,196.74,182.99,197,200.44,205.63,195.06,173.76,202.28,190.27,191.91,190.7,162.69,184.94,200.49,,27,965,33,26.1,
24.06.23 17:08:36,8.3,184.97,176.14,178.82,192.63,203.77,201.05,202.68,189.62,197.65,183.18,193.11,185.71,205.67,196.75,206.79,199.36,177.03,200.17,191.11,185.08,206.92,162.4,183.83,210.32,,27,965,33,26.13,
24.06.23 17:08:51,8.55,190.67,175.87,183.56,190.5,197.57,193.93,195.06,189.62,201.11,195.06,197.58,185.71,199.22,195.34,203.33,194.49,177.03,200.47,198.47,195.35,199.16,164.66,186.62,203.37,,27,965,33,26.13,
24.06.23 17:09:06,8.8,187.14,183.74,182.24,192.63,200.38,201.91,202.4,192.06,188.51,189.5,197.58,187.9,194.78,190.01,207.08,194.49,173.22,197.77,189.15,196.51,191.51,158.75,181.05,202.21,,27,965,33,26.13,
24.06.23 17:09:22,9.07,193.96,180.75,180.13,191.83,198.41,195.35,198.15,199.16,194.78,192.55,203.78,184.08,197,196.19,208.52,194.78,179.22,195.97,190.83,192.48,196.15,166.36,179.11,207.99,,27,965,33,26.14,
24.06.23 17:09:37,9.32,191.76,178.03,179.08,189.7,201.79,201.33,200.13,197.24,191.92,196.46,195.06,187.08,197.55,194.5,203.33,199.64,173.49,196.27,191.96,189.62,201.64,159.31,170.34,198.77,,27,965,33,26.16,
24.06.23 17:09:52,9.57,190.67,173.99,180.92,191.3,203.48,192.52,196.46,196.69,198.8,196.74,202.08,180.83,200.62,194.78,204.48,196.78,169.16,199.57,196.19,192.2,188.53,159.31,169.53,207.41,,27,965,33,26.14,
24.06.23 17:10:07,9.82,187.14,179.39,183.3,195.32,203.2,201.05,200.13,204.96,195.64,190.33,196.74,186.53,192.85,191.97,201.04,191.94,169.16,197.77,191.96,191.34,193.96,158.47,180.77,214.42,,27,965,33,26.14,
24.06.23 17:10:22,10.07,186.86,176.14,183.3,192.1,198.97,192.52,200.13,198.61,196.21,195.34,206.34,186.26,202.58,190.29,203.04,197.92,173.76,197.17,197.33,188.77,198.89,157.91,177.74,208.29,,27,965,33,26.16,
24.06.23 17:10:37,10.32,194.23,176.68,184.89,189.96,209.45,196.48,200.41,203.02,194.49,198.7,199.83,187.08,194.23,186.66,201.04,197.35,167.28,195.38,195.35,189.05,193.42,162.69,181.05,210.91,,27,965,33,26.17,
24.06.23 17:10:52,10.57,195.88,178.85,181.98,196.93,205.75,197.62,193.94,198.34,196.21,188.4,201.8,191.47,201.73,193.93,198.76,189.67,167.81,198.37,191.68,199.98,199.16,158.19,184.38,201.64,,27,965,33,26.17,
24.06.23 17:11:07,10.82,192.86,172.38,182.24,193.44,202.92,196.48,197.87,197.79,195.64,198.7,202.65,180.56,200.06,190.85,201.9,196.49,172.68,193.29,196.19,197.37,199.99,156.23,185.78,207.99,,27,965,33,26.19,
24.06.23 17:11:22,11.07,191.76,173.45,180.4,193.71,200.66,190.82,192.54,201.36,188.79,192,205.77,184.62,200.34,184.45,204.19,186.85,173.76,196.87,198.75,197.08,201.92,150.67,174.71,205.39,,27,965,33,26.17,
24.06.23 17:11:37,11.32,184.7,169.97,187.54,192.1,205.75,196.2,197.03,202.19,198.51,201.23,208.91,184.08,196.72,196.19,201.04,196.21,169.16,200.77,197.61,187.91,195.6,159.87,182.16,210.03,,27,965,33,26.19,
24.06.23 17:11:52,11.57,188.77,175.33,182.24,188.9,202.35,191.39,191.15,194.51,194.21,198.42,203.5,182.45,202.86,187.5,197.9,188.26,175.67,192.4,193.65,192.77,183.43,152.06,178.29,215.59,,27,965,33,26.2,
24.06.23 17:12:07,11.82,184.7,175.06,181.71,187.83,206.03,197.33,195.06,190.7,190.78,189.23,202.93,184.08,197.55,194.78,199.9,189.67,169.43,194.18,186.07,190.76,201.64,158.19,179.94,204.81,,27,965,33,26.21,
24.06.23 17:12:22,12.07,186.86,169.7,180.92,188.63,202.07,195.35,197.87,194.23,200.25,199.82,204.63,185.44,195.89,198.45,199.33,194.21,168.62,198.37,191.96,195.64,201.64,155.4,178.01,205.97,,27,965,33,26.21,
24.06.23 17:12:37,12.32,187.68,177.22,181.98,193.97,214.04,197.9,195.34,204.13,199.96,197.58,206.06,185.17,201.73,194.78,203.04,190.23,168.35,200.77,197.61,195.35,198.06,158.47,190.82,212.66,,27,965,33,26.21,
24.06.23 17:12:52,12.57,189.04,175.87,176.47,194.51,203.48,190.82,197.59,202.74,193.92,193.66,207.19,184.35,196.16,191.97,199.9,188.82,168.08,198.07,196.19,190.19,203.58,160.15,181.6,221.5,,27,965,33,26.23,
24.06.23 17:13:07,12.82,189.04,171.3,180.4,192.37,211.17,204.2,195.62,196.14,193.06,187.29,208.91,186.53,199.78,191.97,201.9,195.63,169.43,197.47,189.99,191.05,198.34,160.72,178.01,208.58,,27,965,33,26.23,
24.06.23 17:13:22,13.07,191.49,178.03,180.4,189.96,215.77,195.06,205.24,202.74,201.69,184.82,205.77,184.62,194.5,190.57,195.35,192.5,165.13,192.99,192.24,189.34,213.08,153.72,176.36,215.89,,27,965,33,26.24,
24.06.23 17:13:37,13.32,186.59,168.63,178.04,187.83,206.89,197.33,195.06,190.7,195.93,184.27,206.62,185.71,193.67,189.45,193.37,190.23,169.16,192.69,192.24,191.91,199.44,158.75,172.52,204.52,,27,965,33,26.24,
24.06.23 17:13:52,13.57,187.41,175.87,180.66,191.56,210.88,196.48,199.56,192.6,197.36,188.95,201.8,180.56,194.78,195.91,196.76,191.08,172.68,197.77,187.75,187.06,199.71,146.81,170.89,224.78,,27,965,33,26.24,
24.06.23 17:14:07,13.82,195.6,174.52,180.13,192.63,214.04,187.18,199,191.52,195.35,188.95,202.37,181.64,205.67,187.78,201.9,188.26,165.67,198.67,194.5,192.48,200.82,154,168.71,217.65,,27,965,33,26.25,
24.06.23 17:14:22,14.07,195.05,177.22,180.13,195.59,215.48,189.42,197.87,195.87,192.78,191.44,206.06,192.29,200.06,198.45,199.9,197.35,176.21,192.99,197.33,186.78,201.37,157.91,162.5,216.48,,27,965,33,26.27,
24.06.23 17:14:37,14.32,187.95,174.52,179.61,194.24,212.03,203.63,203.53,199.71,188.22,183.72,202.93,182.99,191.47,185.83,203.62,189.1,163.52,200.47,196.48,186.78,193.69,152.89,172.25,214.12,,27,965,33,26.28,
24.06.23 17:14:52,14.57,187.41,175.33,177.25,193.17,204.33,193.65,201.26,197.24,196.21,191.44,206.62,183.54,192.02,183.89,200.75,189.95,168.08,198.37,192.24,194.2,209.15,155.95,169.25,220.91,,27,965,33,26.28,
24.06.23 17:15:07,14.82,184.16,172.38,174.38,192.1,205.47,184.11,197.03,194.51,193.06,184.27,199.26,181.1,198.94,188.06,199.04,189.95,168.08,194.78,193.37,187.34,196.15,151.23,167.9,224.78,,27,965,33,26.28,
24.06.23 17:15:22,15.07,187.14,169.43,175.94,188.37,215.19,192.23,194.78,197.24,197.36,185.09,202.37,180.83,193.4,187.5,203.33,189.95,160.06,193.88,193.37,193.06,199.44,155.95,167.63,221.8,,27,965,33,26.28,
24.06.23 17:15:37,15.32,192.31,171.84,178.56,193.44,206.32,191.11,201.55,199.16,196.5,190.89,204.92,186.26,195.89,188.61,205.06,191.37,167.81,201.98,196.19,188.2,211.11,152.34,164.92,215.89,,27,965,33,26.3,
24.06.23 17:15:52,15.57,189.85,170.77,171.79,192.37,210.6,191.67,198.72,194.51,195.07,186.19,198.98,183.26,195.33,192.25,203.04,192.22,164.06,192.1,197.61,191.34,203.3,155.67,170.34,213.24,,27,965,33,26.31,
24.06.23 17:16:07,15.82,190.13,167.84,179.61,192.37,199.26,197.33,201.83,193.15,200.54,181.26,200.95,181.91,195.06,184.45,200.47,189.95,162.19,192.69,188.03,188.48,213.93,147.36,170.61,213.54,,27,965,33,26.31,
24.06.23 17:16:22,16.07,189.85,168.63,174.9,189.96,211.45,191.11,192.26,197.51,197.08,179.63,201.24,185.17,199.22,191.41,201.04,189.39,157.94,194.48,193.08,185.64,206.08,144.89,165.73,204.81,,27,965,33,26.31,
24.06.23 17:16:37,16.32,189.58,169.17,185.42,194.24,211.17,199.33,200.13,204.96,195.93,183.72,198.98,185.71,200.06,182.23,201.33,193.07,167.54,194.18,198.18,189.62,207.75,153.17,163.31,214.12,,27,965,33,26.31,
24.06.23 17:16:52,16.57,187.14,168.63,183.03,190.76,205.47,189.98,197.31,202.74,204.6,182.63,201.52,186.26,195.89,188.61,199.33,184.88,165.13,195.38,193.37,185.36,211.39,158.47,168.98,220.32,,27,965,33,26.33,
24.06.23 17:17:07,16.82,181.47,159.91,174.38,189.7,207.46,183.55,191.42,191.79,197.08,182.08,195.34,181.37,192.3,188.89,196.76,184.32,168.89,189.43,186.35,184.23,199.99,139.43,161.69,207.41,,27,965,33,26.33,
24.06.23 17:17:22,17.07,191.49,172.38,180.92,196.12,199.54,193.36,196.46,201.36,194.78,186.19,207.19,179.75,203.14,190.85,199.33,186.29,160.86,195.08,195.63,189.91,208.59,146.26,170.61,214.12,,27,965,33,26.33,
24.06.23 17:17:37,17.32,190.4,164.65,180.4,195.32,209.45,197.05,198.72,200.26,196.5,187.85,202.93,186.53,204.54,190.01,200.47,187.69,164.06,201.07,197.05,201.14,211.11,153.72,162.77,225.97,,27,965,33,26.35,
24.06.23 17:17:52,17.57,189.31,167.57,180.66,194.78,214.33,193.36,195.06,202.47,207.81,178.81,200.39,188.99,195.89,190.29,202.18,184.04,160.06,196.27,195.63,193.63,202.47,148.46,158.75,217.36,,27,965,33,26.35,
24.06.23 17:18:07,17.82,187.95,163.86,179.87,193.71,202.35,192.8,195.62,198.06,199.67,184.27,203.22,180.02,207.92,186.66,199.04,189.67,160.59,196.87,191.11,180.56,210.55,145.44,166.27,205.97,,27,965,33,26.36,
24.06.23 17:18:22,18.07,192.04,161.75,184.89,195.05,200.38,195.06,204.1,202.74,198.51,188.12,198.7,182.99,204.54,193.65,204.77,191.94,162.72,194.78,197.9,185.08,213.08,152.61,170.89,218.24,,27,965,33,26.35,
24.06.23 17:18:37,18.32,186.86,164.92,181.19,194.24,201.51,197.05,199,200.26,203.73,183.18,196.46,182.18,198.66,194.22,203.33,189.67,172.13,192.69,194.78,181.69,205.52,139.15,162.23,220.91,,27,965,33,26.36,
24.06.23 17:18:52,18.57,187.68,167.3,182.24,191.03,212.89,184.94,196.18,198.88,205.47,195.9,191.44,184.62,202.01,188.33,198.47,189.67,162.99,191.8,197.05,189.05,210.27,143.24,159.82,218.84,,27,965,33,26.38,
24.06.23 17:19:07,18.82,190.95,163.07,178.56,195.32,208.03,191.95,204.67,198.88,198.51,180.45,194.22,186.26,207.64,186.39,201.33,187.98,161.13,195.97,190.83,193.92,217.89,147.64,159.55,214.42,,27,965,33,26.38,
24.06.23 17:19:22,19.07,190.95,169.17,184.09,195.86,209.45,185.22,198.15,203.3,199.67,186.47,197.02,185.71,209.62,184.45,201.9,191.08,163.79,195.38,188.03,196.8,218.46,140.24,163.84,213.24,,27,965,33,26.38,
24.06.23 17:19:37,19.32,192.31,166.77,184.89,196.66,213.18,190.54,197.87,200.53,215.17,187.57,202.37,185.44,204.26,192.25,204.48,189.39,164.33,196.57,194.78,195.07,200.54,146.54,164.92,220.91,,27,965,33,26.39,
24.06.23 17:19:52,19.57,190.4,158.6,182.51,199.64,208.31,191.11,195.06,206.63,208.1,186.19,200.11,184.08,207.64,190.85,202.18,187.69,162.46,195.08,192.24,199.4,210.55,155.95,160.36,220.91,,27,965,33,26.39,
24.06.23 17:20:07,19.82,189.85,163.33,181.45,195.86,204.61,190.54,200.98,203.57,209.86,179.09,200.39,187.08,209.06,192.53,205.34,189.39,166.74,199.87,190.83,191.62,201.09,145.44,171.16,206.54,,27,965,33,26.41,
24.06.23 17:20:22,20.07,184.7,165.18,178.82,193.44,214.9,189.7,199.28,204.96,203.73,194.5,191.44,188.17,209.91,187.22,206.79,192.22,162.99,198.97,198.75,189.05,206.08,138.61,159.55,218.84,,27,965,33,26.41,
24.06.23 17:20:37,20.32,183.62,160.7,176.99,190.76,211.74,183.83,199.28,201.91,210.45,192.55,192.27,181.91,208.77,189.45,204.19,185.72,167.01,196.87,191.39,194.78,208.03,141.88,162.77,214.12,,27,965,33,26.42,
24.06.23 17:20:52,20.57,182.54,160.7,177.77,189.7,216.06,183.55,200.13,202.19,208.98,182.63,193.94,184.35,201.73,186.94,198.76,187.41,159.27,191.8,191.39,182.53,200.82,142.7,159.29,219.43,,27,965,33,26.42,
24.06.23 17:21:07,20.82,188.77,158.6,180.66,193.97,210.88,192.52,204.96,204.4,213.1,189.78,191.72,183.54,210.19,193.09,204.77,192.5,162.72,193.88,184.4,188.48,206.92,149.57,163.04,219.72,,27,965,33,26.44,
24.06.23 17:21:22,21.07,184.7,165.71,185.68,199.37,214.04,191.95,206.67,205.24,214.87,190.89,198.98,182.18,211.61,195.91,197.33,193.07,165.13,196.27,191.68,195.93,206.64,149.29,167.08,225.37,,27,965,33,26.44,
24.06.23 17:21:37,21.32,187.68,161.49,177.25,194.24,210.02,193.08,203.82,199.71,213.1,186.19,193.11,184.08,215.32,190.01,204.77,188.26,163.79,197.77,197.33,198.53,209.71,147.36,167.08,210.91,,27,965,33,26.45,
24.06.23 17:21:52,21.57,179.59,159.38,176.73,190.76,208.03,187.18,196.18,195.87,209.57,187.57,191.99,184.35,197.55,188.89,194.78,182.08,161.66,193.59,186.07,191.05,199.71,141.88,153.44,216.48,,27,965,33,26.46,
24.06.23 17:22:07,21.82,190.95,165.98,180.92,201.27,208.6,186.62,206.96,205.51,215.46,194.22,194.22,189.82,212.18,193.09,199.33,194.78,159,204.4,191.68,201.14,200.26,144.89,166.54,222.69,,27,965,33,26.46,
24.06.23 17:22:22,22.07,186.05,164.12,180.92,193.97,209.45,189.98,193.66,200.81,214.57,179.09,193.94,182.72,209.06,185.83,198.47,184.6,159.8,198.97,191.11,199.69,201.64,142.97,164.11,211.2,,27,965,33,26.48,
24.06.23 17:22:37,22.32,188.77,162.8,177.51,196.93,211.17,186.62,200.41,202.74,209.86,184.27,197.58,183.26,211.04,195.34,197.33,191.65,157.41,198.97,193.37,189.34,206.64,139.15,157.95,218.54,,27,965,33,26.48,
24.06.23 17:24:17,23.98,195.88,155.72,187.01,194.78,208.88,191.95,205.24,211.38,231.06,194.78,216.1,183.54,198.94,223.63,215.22,202.52,150.58,224.69,206.2,191.34,199.16,158.19,148.95,221.8,,27,965,33,26.56,
24.06.23 17:24:32,24.23,218.61,162.01,195.59,191.3,206.03,195.91,206.38,210.54,205.76,195.06,199.83,192.57,209.06,193.09,193.08,185.16,154.51,203.79,175.85,214.95,213.93,151.5,142.94,211.78,,27,965,33,26.6,
24.06.23 17:24:47,24.48,184.97,158.07,169.46,183.08,206.89,165.73,158.88,199.16,208.1,158.27,193.11,182.18,182.73,158.7,191.67,190.8,148.75,183.25,164.44,174.41,199.99,117.25,180.22,159.98,,27,965,33,26.63,
24.06.23 17:25:02,24.73,178.26,144.63,181.19,186.24,190.61,184.94,196.46,194.78,223.21,180.99,195.06,175.98,209.34,180.86,210.55,175.97,150.32,195.08,182.46,197.37,201.09,113.32,155.03,201.93,,27,965,33,26.66,965B6-(E1);
24.06.23 17:25:17,24.98,162.97,173.45,193.7,200.72,179.92,211.15,209.82,204.13,225.32,197.3,193.66,188.72,198.66,179.48,201.61,186.57,150.58,204.4,201.32,173.29,221.88,134.01,167.63,208.87,,27,965,33,26.67,
24.06.23 17:25:32,25.23,202.25,169.43,192.89,214.47,208.6,196.48,234.76,224.72,209.86,200.67,209.77,185.99,193.12,222.74,211.13,198.78,154.77,197.47,186.35,206.98,205.25,160.43,182.99,211.49,,27,965,33,26.7,965B6-(E1);
24.06.23 17:25:47,25.48,196.43,169.43,175.42,203.72,223.62,193.65,222.9,219.01,204.89,205.76,205.2,181.37,186.81,188.89,217.27,203.1,163.26,195.08,189.71,195.07,214.21,126.51,176.08,217.36,,27,965,33,26.73,
24.06.23 17:26:02,25.73,166.62,155.72,162.28,176.01,225.67,179.94,206.1,206.07,192.49,170.72,185.36,186.26,165.64,204.43,199.9,195.63,144.08,186.18,156.43,171.91,187.99,130.52,163.84,200.49,,27,965,33,26.74,965B6-(E1);
24.06.23 17:26:17,25.98,197.53,175.33,187.01,209.48,227.43,236.71,221.73,222.14,210.15,201.23,201.8,195.61,223.69,208.17,212.88,205.71,166.2,203.19,186.35,193.92,201.92,150.4,183.83,240.19,,27,965,33,26.75,
