Date,Sample.ID,Chamber.ID,SDR,Tank,PAR,Symbiont,Type,Salinity,Run,Volume,Org.Number,Notes
20221024,3,A3,641,A6,NA,NA,Blank,36,3,0.00008,5,
20221024,9,B3,641,A6,0,Cladocopium,Sample,36,3,0.00008,5,
20221024,15,C3,641,NA,0,Cladocopium,Sample,36,3,0.00008,NA,
20221024,21,D3,641,A6,0,Cladocopium,Sample,36,3,0.00008,5,
20221024,4,A4,641,B4,NA,NA,Blank,36,3,0.00008,5,
20221024,10,B4,641,B4,0,Durusdinium,Sample,36,3,0.00008,5,
20221024,16,C4,641,NA,0,Durusdinium,Sample,36,3,0.00008,NA,
20221024,22,D4,641,B4,0,Durusdinium,Sample,36,3,0.00008,5,
20221024,5,A5,641,B5,NA,NA,Blank,36,3,0.00008,5,
20221024,11,B5,641,B5,0,Cladocopium,Sample,36,3,0.00008,5,
20221024,17,C5,641,NA,0,Cladocopium,Sample,36,3,0.00008,NA,
20221024,23,D5,641,B5,0,Cladocopium,Sample,36,3,0.00008,5,
20221024,6,A6,641,B6,NA,NA,Blank,36,3,0.00008,4,
20221024,12,B6,641,B6,0,Durusdinium,Sample,36,3,0.00008,5,
20221024,18,C6,641,NA,0,Durusdinium,Sample,36,3,0.00008,NA,
20221024,24,D6,641,B6,0,Durusdinium,Sample,36,3,0.00008,5,
20221024,1,A1,710,A4,NA,NA,Blank,36,4,0.00008,5,
20221024,7,B1,710,NA,500,Cladocopium,Sample,36,4,0.00008,NA,
20221024,13,C1,710,A4,500,Cladocopium,Sample,36,4,0.00008,5,
20221024,19,D1,710,A4,500,Cladocopium,Sample,36,4,0.00008,5,
20221024,2,A2,710,A5,NA,NA,Blank,36,4,0.00008,5,
20221024,8,B2,710,NA,500,Durusdinium,Sample,36,4,0.00008,NA,
20221024,14,C2,710,A5,500,Durusdinium,Sample,36,4,0.00008,5,
20221024,20,D2,710,A5,500,Durusdinium,Sample,36,4,0.00008,5,
20221024,3,A3,710,A6,NA,NA,Blank,36,4,0.00008,5,
20221024,9,B3,710,NA,500,Cladocopium,Sample,36,4,0.00008,NA,
20221024,15,C3,710,A6,500,Cladocopium,Sample,36,4,0.00008,5,
20221024,21,D3,710,A6,500,Cladocopium,Sample,36,4,0.00008,4,
20221024,4,A4,710,B4,NA,NA,Blank,36,4,0.00008,5,
20221024,10,B4,710,NA,500,Durusdinium,Sample,36,4,0.00008,NA,
20221024,16,C4,710,B4,500,Durusdinium,Sample,36,4,0.00008,5,
20221024,22,D4,710,B4,500,Durusdinium,Sample,36,4,0.00008,5,
20221024,5,A5,710,B5,NA,NA,Blank,36,4,0.00008,5,
20221024,11,B5,710,NA,500,Cladocopium,Sample,36,4,0.00008,NA,
20221024,17,C5,710,B5,500,Cladocopium,Sample,36,4,0.00008,5,
20221024,23,D5,710,B5,500,Cladocopium,Sample,36,4,0.00008,5,
20221024,6,A6,710,B6,NA,NA,Blank,36,4,0.00008,5,
20221024,12,B6,710,NA,500,Durusdinium,Sample,36,4,0.00008,NA,
20221024,18,C6,710,B6,500,Durusdinium,Sample,36,4,0.00008,3,
20221024,24,D6,710,B6,500,Durusdinium,Sample,36,4,0.00008,5,
