"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0000047","diacylglycerophosphoinositols [GP0601]",6,0,0.35,"1.0000","1.000"
"LION:0000254","C12:0",3,0,0.17,"1.0000","1.000"
"LION:0000259","C14:0",3,0,0.17,"1.0000","1.000"
"LION:0000462","C14:1",5,0,0.29,"1.0000","1.000"
"LION:0000466","positive intrinsic curvature",34,0,1.96,"1.0000","1.000"
"LION:0000599","lysoglycerophospholipids",23,0,1.32,"1.0000","1.000"
"LION:0000619","monoacylglycerols [GL0101]",3,0,0.17,"1.0000","1.000"
"LION:0000728","diacylglycerophosphoglycerophosphodiradylglycerols [GP1201]",3,0,0.17,"1.0000","1.000"
"LION:0001734","contains vinyl ether bond (plasmalogen)",4,0,0.23,"1.0000","1.000"
"LION:0001735","very low transition temperature",4,0,0.23,"1.0000","1.000"
"LION:0001736","low transition temperature",3,0,0.17,"1.0000","1.000"
"LION:0001737","average transition temperature",8,0,0.46,"1.0000","1.000"
"LION:0001741","below average transition temperature",7,0,0.4,"1.0000","1.000"
"LION:0002882","C16:0",20,0,1.15,"1.0000","1.000"
"LION:0002900","C16:1",4,0,0.23,"1.0000","1.000"
"LION:0002922","C18:1",3,0,0.17,"1.0000","1.000"
"LION:0002923","C18:2",7,0,0.4,"1.0000","1.000"
"LION:0002924","C18:3",9,0,0.52,"1.0000","1.000"
"LION:0002928","C20:3",3,0,0.17,"1.0000","1.000"
"LION:0002929","C20:4",7,0,0.4,"1.0000","1.000"
"LION:0002933","C22:2",3,0,0.17,"1.0000","1.000"
"LION:0002934","C22:3",3,0,0.17,"1.0000","1.000"
"LION:0002937","C22:6",3,0,0.17,"1.0000","1.000"
"LION:0002938","C24:0",5,0,0.29,"1.0000","1.000"
"LION:0002939","C24:1",5,0,0.29,"1.0000","1.000"
"LION:0002940","C24:2",10,0,0.58,"1.0000","1.000"
"LION:0002953","fatty acid with 14 carbons",8,0,0.46,"1.0000","1.000"
"LION:0002954","fatty acid with 15 carbons",11,0,0.63,"1.0000","1.000"
"LION:0002955","fatty acid with 16 carbons",23,0,1.32,"1.0000","1.000"
"LION:0002963","fatty acid with 24 carbons",23,0,1.32,"1.0000","1.000"
"LION:0002965","fatty acid with 26 carbons",14,0,0.81,"1.0000","1.000"
"LION:0002974","fatty acid with 6 double bonds",4,0,0.23,"1.0000","1.000"
"LION:0002978","fatty acid with more than 5 double bonds",7,0,0.4,"1.0000","1.000"
"LION:0002982","C26:2",5,0,0.29,"1.0000","1.000"
"LION:0002987","C26:7",3,0,0.17,"1.0000","1.000"
"LION:0012017","hexosylceramides",10,0,0.58,"1.0000","1.000"
"LION:0022229","C15:0",5,0,0.29,"1.0000","1.000"
"LION:0022230","C15:1",7,0,0.4,"1.0000","1.000"
"LION:0022231","C17:0",6,0,0.35,"1.0000","1.000"
"LION:0022234","C17:1",6,0,0.35,"1.0000","1.000"
"LION:0022263","C21:2",3,0,0.17,"1.0000","1.000"
"LION:0022267","C23:1",3,0,0.17,"1.0000","1.000"
"LION:0080968","very low bilayer thickness",4,0,0.23,"1.0000","1.000"
"LION:0080969","low bilayer thickness",5,0,0.29,"1.0000","1.000"
"LION:0080971","high bilayer thickness",5,0,0.29,"1.0000","1.000"
"LION:0080973","below average bilayer thickness",9,0,0.52,"1.0000","1.000"
"LION:0080974","above average bilayer thickness",6,0,0.35,"1.0000","1.000"
"LION:0080979","high lateral diffusion",4,0,0.23,"1.0000","1.000"
"LION:0080980","very high lateral diffusion",4,0,0.23,"1.0000","1.000"
"LION:0080982","above average lateral diffusion",7,0,0.4,"1.0000","1.000"
