"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0000623","alkyldiacylglycerols [GL0302]",64,2,1.42,"0.423","1"
"LION:0000011","glycerophosphoethanolamines [GP02]",25,1,0.56,"0.435","1"
"LION:0000100","fatty acid with 18 carbons or less",68,2,1.51,"0.455","1"
"LION:0000030","diacylglycerophosphocholines [GP0101]",30,1,0.67,"0.497","1"
"LION:0012081","mitochondrion",30,1,0.67,"0.497","1"
"LION:0002949","fatty acid with 19-21 carbons",31,1,0.69,"0.509","1"
"LION:0002957","fatty acid with 18 carbons",32,1,0.71,"0.520","1"
"LION:0000466","positive intrinsic curvature",34,1,0.76,"0.542","1"
"LION:0002966","fatty acid with less than 2 double bonds",87,2,1.93,"0.594","1"
"LION:0002977","fatty acid with 3-5 double bonds",48,1,1.07,"0.672","1"
"LION:0012010","membrane component",336,7,7.47,"0.680","1"
"LION:0002950","fatty acid with 22-24 carbons",51,1,1.13,"0.694","1"
"LION:0002948","fatty acid with 16-18 carbons",53,1,1.18,"0.709","1"
"LION:0002976","fatty acid with more than 3 double bonds",55,1,1.22,"0.723","1"
"LION:0000095","headgroup with positive charge / zwitter-ion",167,3,3.71,"0.755","1"
"LION:0000003","glycerophospholipids [GP]",170,3,3.78,"0.767","1"
"LION:0000002","glycerolipids [GL]",324,6,7.2,"0.799","1"
"LION:0000010","glycerophosphocholines [GP01]",128,2,2.84,"0.807","1"
"LION:0000094","headgroup with neutral charge",332,6,7.38,"0.823","1"
"LION:0000467","contains ether-bond",90,1,2,"0.884","1"
"LION:0000465","neutral intrinsic curvature",107,1,2.38,"0.925","1"
"LION:0000604","triradylglycerols [GL03]",179,2,3.98,"0.935","1"
"LION:0012011","lipid storage",180,2,4,"0.937","1"
"LION:0012084","lipid droplet",180,2,4,"0.937","1"
"LION:0000012","glycerophosphoinositols [GP06]",8,0,0.18,"1.000","1"
"LION:0000014","glycerophosphoglycerols [GP04]",3,0,0.07,"1.000","1"
"LION:0000031","1-alkyl,2-acylglycerophosphocholines [GP0102]",75,0,1.67,"1.000","1"
"LION:0000038","diacylglycerophosphoethanolamines [GP0201]",4,0,0.09,"1.000","1"
"LION:0000040","1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]",4,0,0.09,"1.000","1"
"LION:0000043","monoalkylglycerophosphoethanolamines [GP0206]",3,0,0.07,"1.000","1"
"LION:0000047","diacylglycerophosphoinositols [GP0601]",6,0,0.13,"1.000","1"
"LION:0000084","ceramide phosphocholines (sphingomyelins) [SP0301]",14,0,0.31,"1.000","1"
"LION:0000254","C12:0",3,0,0.07,"1.000","1"
"LION:0000259","C14:0",3,0,0.07,"1.000","1"
"LION:0000462","C14:1",5,0,0.11,"1.000","1"
"LION:0000608","1-alkyl,2-acylglycerols [GL0202]",24,0,0.53,"1.000","1"
"LION:0000619","monoacylglycerols [GL0101]",3,0,0.07,"1.000","1"
"LION:0000622","triacylglycerols [GL0301]",115,0,2.56,"1.000","1"
"LION:0000728","diacylglycerophosphoglycerophosphodiradylglycerols [GP1201]",3,0,0.07,"1.000","1"
"LION:0001734","contains vinyl ether bond (plasmalogen)",4,0,0.09,"1.000","1"
"LION:0001735","very low transition temperature",4,0,0.09,"1.000","1"
"LION:0001736","low transition temperature",3,0,0.07,"1.000","1"
"LION:0001738","high transition temperature",4,0,0.09,"1.000","1"
"LION:0001741","below average transition temperature",7,0,0.16,"1.000","1"
"LION:0002882","C16:0",20,0,0.44,"1.000","1"
"LION:0002900","C16:1",4,0,0.09,"1.000","1"
"LION:0002921","C18:0",15,0,0.33,"1.000","1"
"LION:0002922","C18:1",3,0,0.07,"1.000","1"
"LION:0002924","C18:3",9,0,0.2,"1.000","1"
"LION:0002928","C20:3",3,0,0.07,"1.000","1"
"LION:0002929","C20:4",7,0,0.16,"1.000","1"
"LION:0002931","C22:0",3,0,0.07,"1.000","1"
"LION:0002933","C22:2",3,0,0.07,"1.000","1"
"LION:0002934","C22:3",3,0,0.07,"1.000","1"
"LION:0002935","C22:4",7,0,0.16,"1.000","1"
"LION:0002937","C22:6",3,0,0.07,"1.000","1"
"LION:0002938","C24:0",5,0,0.11,"1.000","1"
"LION:0002939","C24:1",5,0,0.11,"1.000","1"
"LION:0002940","C24:2",10,0,0.22,"1.000","1"
"LION:0002953","fatty acid with 14 carbons",8,0,0.18,"1.000","1"
"LION:0002954","fatty acid with 15 carbons",11,0,0.24,"1.000","1"
"LION:0002955","fatty acid with 16 carbons",23,0,0.51,"1.000","1"
"LION:0002956","fatty acid with 17 carbons",12,0,0.27,"1.000","1"
"LION:0002959","fatty acid with 20 carbons",17,0,0.38,"1.000","1"
"LION:0002960","fatty acid with 21 carbons",9,0,0.2,"1.000","1"
"LION:0002962","fatty acid with 23 carbons",5,0,0.11,"1.000","1"
"LION:0002963","fatty acid with 24 carbons",23,0,0.51,"1.000","1"
"LION:0002964","fatty acid with 25 carbons",6,0,0.13,"1.000","1"
"LION:0002968","saturated fatty acid",59,0,1.31,"1.000","1"
"LION:0002971","fatty acid with 3 double bonds",20,0,0.44,"1.000","1"
"LION:0002972","fatty acid with 4 double bonds",20,0,0.44,"1.000","1"
"LION:0002974","fatty acid with 6 double bonds",4,0,0.09,"1.000","1"
"LION:0002978","fatty acid with more than 5 double bonds",7,0,0.16,"1.000","1"
"LION:0002987","C26:7",3,0,0.07,"1.000","1"
"LION:0012017","hexosylceramides",10,0,0.22,"1.000","1"
"LION:0012086","endosome/lysosome",16,0,0.36,"1.000","1"
"LION:0022229","C15:0",5,0,0.11,"1.000","1"
"LION:0022230","C15:1",7,0,0.16,"1.000","1"
"LION:0022231","C17:0",6,0,0.13,"1.000","1"
"LION:0022234","C17:1",6,0,0.13,"1.000","1"
"LION:0022236","C17:2",3,0,0.07,"1.000","1"
"LION:0022263","C21:2",3,0,0.07,"1.000","1"
"LION:0022267","C23:1",3,0,0.07,"1.000","1"
"LION:0080968","very low bilayer thickness",4,0,0.09,"1.000","1"
"LION:0080970","average bilayer thickness",4,0,0.09,"1.000","1"
"LION:0080971","high bilayer thickness",5,0,0.11,"1.000","1"
"LION:0080974","above average bilayer thickness",6,0,0.13,"1.000","1"
"LION:0080977","low lateral diffusion",6,0,0.13,"1.000","1"
"LION:0080979","high lateral diffusion",4,0,0.09,"1.000","1"
"LION:0080980","very high lateral diffusion",4,0,0.09,"1.000","1"
"LION:0080982","above average lateral diffusion",7,0,0.16,"1.000","1"
