"","Date","Sample.ID","Chamber.ID","SDR","Tank","Temperature","Type","Salinity","Plate.","Run","Volume","Org.Number","Notes","Plate","Resp.Intercept","R.umol.L.min","R.umol.min","R.Blank.umol.min","R.umol.min.corr","R.umol.org.min","R.nmol.org.min"
"11","20230705",4,"A4",641,NA,27,"Sample",33,1,1,8e-05,16,NA,2,190.335202000634,-0.8057155436582,-6.4457243492656e-05,-7.34811409009195e-05,9.02389740826352e-06,5.6399358801647e-07,0.00056399358801647
"12","20230705",10,"B4",641,NA,27,"Sample",33,1,1,8e-05,8,NA,2,188.209751383811,-1.19192059315953,-9.53536474527624e-05,-7.34811409009195e-05,-2.18725065518429e-05,-2.73406331898036e-06,-0.00273406331898036
"13","20230705",16,"C4",641,NA,27,"Sample",33,1,1,8e-05,20,NA,2,178.909245620841,-1.08353376503238,-8.66827012025904e-05,-7.34811409009195e-05,-1.32015603016709e-05,-6.60078015083544e-07,-0.000660078015083544
"14","20230705",5,"A5",641,NA,27,"Sample",33,1,1,8e-05,12,NA,2,194.317460697197,-1.40843089542037,-0.00011267447163363,-7.34811409009195e-05,-3.91933307327101e-05,-3.26611089439251e-06,-0.00326611089439251
"15","20230705",11,"B5",641,NA,27,"Sample",33,1,1,8e-05,16,NA,2,196.621644322845,-0.902024623803009,-7.21619699042407e-05,-7.34811409009195e-05,1.3191709966788e-06,8.24481872924252e-08,8.24481872924252e-05
"16","20230705",23,"D5",641,NA,27,"Sample",33,1,1,8e-05,12,NA,2,196.265277494042,-1.55827034388832,-0.000124661627511066,-7.34811409009195e-05,-5.11804866101461e-05,-4.26504055084551e-06,-0.00426504055084551
"17","20230705",6,"A6",641,NA,27,"Sample",33,1,1,8e-05,12,NA,2,198.765531699525,-0.773577066320432,-6.18861653056346e-05,-7.34811409009195e-05,1.1594975595285e-05,9.66247966273747e-07,0.000966247966273747
"18","20230705",12,"B6",641,NA,27,"Sample",33,1,1,8e-05,20,NA,2,192.153968121583,-1.36157168010379,-0.000108925734408303,-7.34811409009195e-05,-3.54445935073837e-05,-1.77222967536918e-06,-0.00177222967536918
"19","20230705",18,"C6",641,NA,27,"Sample",33,1,1,8e-05,16,NA,2,192.643526645768,-1.07458627979879,-8.59669023839032e-05,-7.34811409009195e-05,-1.24857614829837e-05,-7.8036009268648e-07,-0.00078036009268648
"20","20230705",24,"D6",641,NA,27,"Sample",33,1,1,8e-05,8,NA,2,195.302801980198,-1.65625874587459,-0.000132500699669967,-7.34811409009195e-05,-5.90195587690477e-05,-7.37744484613096e-06,-0.00737744484613096
"21","20230705",1,"A1",710,NA,27,"Sample",33,2,1,8e-05,8,NA,2,186.798998296008,-1.09852482960078,-8.78819863680624e-05,-7.34811409009195e-05,-1.44008454671429e-05,-1.80010568339286e-06,-0.00180010568339286
"22","20230705",7,"B1",710,NA,27,"Sample",33,2,1,8e-05,12,NA,2,187.784288266041,-1.05092085442647,-8.40736683541176e-05,-7.34811409009195e-05,-1.05925274531981e-05,-8.82710621099841e-07,-0.000882710621099841
"23","20230705",13,"C1",710,NA,27,"Sample",33,2,1,8e-05,8,NA,2,187.118328683939,-0.903113296240927,-7.22490636992742e-05,-7.34811409009195e-05,1.23207720164536e-06,1.5400965020567e-07,0.00015400965020567
"24","20230705",2,"A2",710,NA,27,"Sample",33,2,1,8e-05,20,NA,2,179.198995670996,-0.841627705627705,-6.73302164502164e-05,-7.34811409009195e-05,6.15092445070312e-06,3.07546222535156e-07,0.000307546222535156
"25","20230705",14,"C2",710,NA,27,"Sample",33,2,1,8e-05,16,NA,2,189.507995914198,-1.13884984678243,-9.11079877425944e-05,-7.34811409009195e-05,-1.76268468416749e-05,-1.10167792760468e-06,-0.00110167792760468
"26","20230705",20,"D2",710,NA,27,"Sample",33,2,1,8e-05,20,NA,2,187.388528707248,-0.676831542988848,-5.41465234391078e-05,-7.34811409009195e-05,1.93346174618117e-05,9.66730873090584e-07,0.000966730873090584
"27","20230705",3,"A3",710,NA,27,"Sample",33,2,1,8e-05,16,NA,2,196.605792525773,-0.817068693456767,-6.53654954765414e-05,-7.34811409009195e-05,8.11564542437815e-06,5.07227839023635e-07,0.000507227839023635
"28","20230705",9,"B3",710,NA,27,"Sample",33,2,1,8e-05,8,NA,2,185.315818177861,-1.01686268107661,-8.13490144861288e-05,-7.34811409009195e-05,-7.86787358520928e-06,-9.8348419815116e-07,-0.00098348419815116
"29","20230705",15,"C3",710,NA,27,"Sample",33,2,1,8e-05,20,NA,2,189.762378256963,-1.00432884097035,-8.0346307277628e-05,-7.34811409009195e-05,-6.86516637670848e-06,-3.43258318835424e-07,-0.000343258318835424
"30","20230705",21,"D3",710,NA,27,"Sample",33,2,1,8e-05,12,NA,2,189.945282474804,-0.541304031354984,-4.33043225083987e-05,-7.34811409009195e-05,3.01768183925208e-05,2.5147348660434e-06,0.0025147348660434
"31","20230705",4,"A4",710,NA,27,"Sample",33,2,1,8e-05,12,NA,2,190.335202000634,-0.8057155436582,-6.4457243492656e-05,-7.34811409009195e-05,9.02389740826352e-06,7.51991450688626e-07,0.000751991450688626
"32","20230705",10,"B4",710,NA,27,"Sample",33,2,1,8e-05,20,NA,2,188.209751383811,-1.19192059315953,-9.53536474527624e-05,-7.34811409009195e-05,-2.18725065518429e-05,-1.09362532759214e-06,-0.00109362532759214
"33","20230705",16,"C4",710,NA,27,"Sample",33,2,1,8e-05,16,NA,2,178.909245620841,-1.08353376503238,-8.66827012025904e-05,-7.34811409009195e-05,-1.32015603016709e-05,-8.2509751885443e-07,-0.00082509751885443
"34","20230705",22,"D4",710,NA,27,"Sample",33,2,1,8e-05,20,NA,2,192.569224942151,-1.47239166971136,-0.000117791333576909,-7.34811409009195e-05,-4.43101926759893e-05,-2.21550963379946e-06,-0.00221550963379946
"35","20230705",5,"A5",710,NA,27,"Sample",33,2,1,8e-05,16,NA,2,194.317460697197,-1.40843089542037,-0.00011267447163363,-7.34811409009195e-05,-3.91933307327101e-05,-2.44958317079438e-06,-0.00244958317079438
"36","20230705",11,"B5",710,NA,27,"Sample",33,2,1,8e-05,8,NA,2,196.621644322845,-0.902024623803009,-7.21619699042407e-05,-7.34811409009195e-05,1.3191709966788e-06,1.6489637458485e-07,0.00016489637458485
"37","20230705",23,"D5",710,NA,27,"Sample",33,2,1,8e-05,12,NA,2,196.265277494042,-1.55827034388832,-0.000124661627511066,-7.34811409009195e-05,-5.11804866101461e-05,-4.26504055084551e-06,-0.00426504055084551
"38","20230705",6,"A6",710,NA,27,"Sample",33,2,1,8e-05,12,NA,2,198.765531699525,-0.773577066320432,-6.18861653056346e-05,-7.34811409009195e-05,1.1594975595285e-05,9.66247966273747e-07,0.000966247966273747
"39","20230705",18,"C6",710,NA,27,"Sample",33,2,1,8e-05,8,NA,2,192.643526645768,-1.07458627979879,-8.59669023839032e-05,-7.34811409009195e-05,-1.24857614829837e-05,-1.56072018537296e-06,-0.00156072018537296
"40","20230705",24,"D6",710,NA,27,"Sample",33,2,1,8e-05,16,NA,2,195.302801980198,-1.65625874587459,-0.000132500699669967,-7.34811409009195e-05,-5.90195587690477e-05,-3.68872242306548e-06,-0.00368872242306548
